id;path;name;path_uuid;name_uuid;mime_type;object_url;thumbnail_url;byte_size;number_of_pages;creation;last_content_modification;document_policy;owner_id
1;Orchestrator;zero Pizza;hacking;transmitting;XML SAS index;Forward silver system;Planner Fields;19877;73498;2023-01-08T04:26:48;2023-01-08T15:04:39;PRIVATE;1
2;Fresh demand-driven;Card Frozen;program Infrastructure Refined;TCP;Metal Oklahoma Integration;plum;Tools systems parse;40786;44140;2023-01-08T07:16:31;2023-01-08T16:14:17;LOCKED;2
3;scale;Arkansas discrete;Escudo;Analyst;microchip demand-driven;out-of-the-box;Specialist;31406;66957;2023-01-08T15:25:30;2023-01-07T23:06:40;PRIVATE;2
4;Latvian Steel;GB Botswana copying;Indian Alaska synthesizing;policy Global;Handcrafted hardware Checking;Phased Creative;District online;87271;26693;2023-01-07T19:07:37;2023-01-08T00:49:00;PUBLIC;2
5;Pennsylvania;user-facing Riel;Wooden Tuna Dominica;local cultivate;International Pound emulation;International Roads withdrawal;Fish Bedfordshire;27367;39793;2023-01-07T22:24:47;2023-01-07T16:53:41;LOCKED;1
6;redefine Unbranded concept;Unbranded visionary;Consultant;Sleek quantifying;Concrete;Cuba interface;Salad distributed withdrawal;58104;13525;2023-01-08T02:48:46;2023-01-08T02:58:14;PRIVATE;2
7;database cross-platform;sexy red;eyeballs alarm Granite;Dollar;deposit redundant Future-proofed;Usability compelling;moratorium;67841;99411;2023-01-07T21:34:16;2023-01-08T06:12:26;PUBLIC;2
8;wireless Industrial Jersey;indexing;cross-platform Bedfordshire;Island Baby;cyan overriding;Berkshire withdrawal withdrawal;impactful Illinois;62289;99857;2023-01-08T01:31:47;2023-01-08T14:49:25;LOCKED;1
9;magenta;Awesome;generation;Developer;blue;Consultant synthesize Leone;optical;17654;81761;2023-01-08T03:55:21;2023-01-08T05:29:17;PUBLIC;2
10;TCP Maine States;haptic Credit;Ringgit Health;Regional Table Savings;back-end deploy;auxiliary protocol software;Sleek Kids frictionless;30718;74523;2023-01-07T17:11:38;2023-01-08T13:22:44;LOCKED;1
